timestamp,speaker,words,tags,highlight,timelink
0:00:00,Kit Wall,There‚ that’s it‚ it’s recording. Yep‚ there you go. ,,,
0:00:05,Maya Albanese,Thank you! Okay‚ this is my 1st interview I'm sure you can tell. ,,,
0:00:11,Kit Wall,No‚ I can’t! No problem. Hey‚ they're all different‚ it's all different‚ not to worry. ,,,
0:00:16,Maya Albanese, Cool. Okay‚ I'm gonna do the formal introduction. ,,,
0:00:21,Kit Wall, Yes. Okay‚ sure. Yeah. ,,
0:00:23,Maya Albanese, The following interview was conducted with Kit Wall on behalf of the Georgia Dentel summer MAP for Grinnell concerts‚ Georgia Dentel and Student Life in History and Memory project. It took place on July 26th 2024 on Webex. The interviewer is me‚ Maya Albanese‚ and the note taker is Bowen Wei. First‚ I just want to confirm that you have signed the legal release and give your consent for this interview. ,,
0:00:46,Kit Wall, Yes‚ I have. ,,
0:00:48,Maya Albanese, Perfect. Alrighty. We'll just start things off. Can you just introduce yourself‚ your class year and I guess where you live now? 9,,,
0:00:58,Kit Wall, Okay‚ I am Kit Wall‚ class of 77‚ 1977‚ and I'm always listed as Katherine Wall‚ but NO one will ever know who that is. So it's Kit K I T Wall. And‚ I live now in Benicia California‚ which is in the San Francisco Bay Area. So I'm about 35 miles west. No. Wrong. 35 miles east of San Francisco‚ about 60 miles west of Sacramento‚ just down the street on interstate 80.,,
0:01:33,Kit Wall, So‚ when I come to visit I leave on one end of 80 and then I get to Des Moines on another end of 80‚ so.,,
0:01:40,Maya Albanese, Oh wow‚ you drive here when you visit?,,
0:01:42,Kit Wall, No‚ but the the airports‚ I mean it's funny‚ like‚ you know‚ you're flying from one end of 80 to another‚ right? I mean when I get to Grinnell‚ I mean‚ it's 80. And when I leave Grinnell I'm going west‚ which is where I'm flying‚ so when I get to Des Moines or Cedar Rapids‚ I’m flying west. So it just kind of makes me smile. I live on 80‚ just further west.,,
0:02:02,Maya Albanese, Cool. Awesome. So how did you decide to come to Grinnell College?,,
0:02:14,Kit Wall, Well‚ the funny thing is‚ and you mentioned in here [the list of questions which I sent to Kit] Pat Irwin‚ we were both in high school together and that is exactly how I got to Grinnell. And Pat called me he had been to Grinnell for a student visit and they had put him up in Grinnell house. And he and I were really good friends‚ and he said‚ I really think you ought to check out Grinnell college. And so I said‚ “well‚ do they have journalism?” And he said‚ “Well‚ no‚ they don't really have a journalism major‚ but everything you do is a written assignment‚ so you really learn to write‚ if you can write well‚ you can think well” and he said “and they have a lot of independent study‚ and so I think you would really like that. So you should check it out.” I was like‚ “ok‚ you know‚ I'll keep it in mind.” And so I was applying to other schools. And I had visited a lot of the other schools that I was applying to‚ and the one I applied to and was accepted to‚ which would have been my next stop would have been Knox College. But one weekend‚ it was a beautiful spring weekend‚ and in those days‚ you know‚ life wasn't as scary and so my parents would give me the car for the weekend and say‚ “well‚ you know‚ go ahead‚ go visit Oberlin and‚ go‚ you know‚ whatever you want to do.” So one of my good friends‚ I said‚ “you know‚ are you doing anything this weekend?” and she said‚ “No‚” and I I said‚ “how would you like to go on a road trip to Grinnell Iowa?” Because‚ you know‚ Pat told me it was good. They would put us up in Grinnell house. It's a beautiful weekend. Why don't we go?,,
